date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2010-01-01 00:00:00,29,24,0.0,11.6,7,1,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,23,28,28,26,10,45,88,0.0,1009,25,10,19,6
2010-01-01 01:00:00,29,24,0.0,11.6,7,1,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,23,28,28,25,10,46,88,0.0,1008,25,10,128,6
2010-01-01 02:00:00,29,24,0.0,11.6,7,1,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,23,28,28,25,10,48,88,0.0,1008,25,10,238,7
2010-01-01 03:00:00,29,24,0.0,11.6,7,1,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,23,28,28,25,11,49,88,0.0,1007,24,10,348,7
2010-01-01 04:00:00,29,24,0.0,11.6,7,1,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,23,28,28,25,7,49,87,0.0,1007,25,10,350,5
2010-01-01 05:00:00,29,24,0.0,11.6,7,1,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,23,28,28,26,4,48,86,0.0,1008,25,10,352,3
2010-01-01 06:00:00,29,24,0.0,11.6,7,1,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,23,29,29,26,1,48,85,0.0,1008,25,10,354,1
2010-01-01 07:00:00,29,24,0.0,11.6,7,7,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,23,30,30,26,3,48,82,0.0,1009,26,10,339,2
2010-01-01 08:00:00,29,24,0.0,11.6,7,7,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,23,30,30,27,4,48,79,0.0,1009,26,10,325,3
2010-01-01 09:00:00,29,24,0.0,11.6,7,7,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,23,31,31,28,6,48,77,0.0,1010,27,10,310,5
2010-01-01 10:00:00,29,24,0.0,11.6,7,7,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,23,32,32,28,7,49,75,0.0,1009,28,10,213,6
2010-01-01 11:00:00,29,24,0.0,11.6,7,7,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,23,32,32,29,8,49,73,0.0,1009,28,10,115,7
2010-01-01 12:00:00,29,24,0.0,11.6,7,7,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,23,33,33,29,10,50,71,0.0,1008,29,10,17,8
2010-01-01 13:00:00,29,24,0.0,11.6,7,7,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,23,32,32,29,10,47,74,0.0,1007,28,10,131,8
2010-01-01 14:00:00,29,24,0.0,11.6,7,6,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,24,32,32,28,10,43,78,0.1,1007,28,9,245,7
2010-01-01 15:00:00,29,24,0.0,11.6,7,6,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,24,32,32,28,10,40,82,0.1,1007,27,9,360,7
2010-01-01 16:00:00,29,24,0.0,11.6,7,6,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,24,31,31,27,11,41,86,0.1,1007,26,9,349,7
2010-01-01 17:00:00,29,24,0.0,11.6,7,7,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,24,30,30,26,12,41,89,0.0,1007,26,10,338,8
2010-01-01 18:00:00,29,24,0.0,11.6,7,6,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,24,29,29,25,13,42,93,0.0,1008,25,10,326,8
2010-01-01 19:00:00,29,24,0.0,11.6,7,6,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,24,28,28,25,13,47,94,0.0,1008,25,7,328,8
2010-01-01 20:00:00,29,24,0.0,11.6,7,1,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,24,28,28,25,12,52,94,0.0,1009,24,5,330,8
2010-01-01 21:00:00,29,24,0.0,11.6,7,1,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,24,27,27,25,12,57,95,0.0,1009,24,2,332,8
2010-01-01 22:00:00,29,24,0.0,11.6,7,1,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,24,27,27,24,10,55,96,0.0,1009,24,2,333,6
2010-01-01 23:00:00,29,24,0.0,11.6,7,1,100,07:48 PM,07:20 AM,07:07 AM,07:10 PM,24,27,27,24,8,54,96,0.0,1009,24,2,334,5
